id,dbn,name,num_test_takers,reading_avg,math_avg,writing_score
434,29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43.0,370.0,367.0,363.0
435,29Q326,CAMBRIA HEIGHTS ACADEMY,,,,
436,29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78.0,400.0,426.0,394.0
437,29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52.0,385.0,377.0,377.0
438,29Q496,"BUSINESS, COMPUTER APPLICATIONS & ENTREPRENEURSHIP HIGH SCHOOL",49.0,379.0,414.0,359.0
439,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62.0,393.0,381.0,377.0
440,30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",,,,
441,30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.0,410.0,440.0,405.0
442,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395.0,414.0,449.0,412.0
443,30Q450,LONG ISLAND CITY HIGH SCHOOL,392.0,403.0,420.0,395.0
444,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174.0,504.0,496.0,494.0
445,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148.0,407.0,434.0,398.0
446,30Q555,NEWCOMERS HIGH SCHOOL,143.0,323.0,475.0,329.0
447,30Q575,ACADEMY OF AMERICAN STUDIES,135.0,487.0,492.0,491.0
448,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61.0,524.0,568.0,544.0
449,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137.0,452.0,451.0,450.0
450,31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61.0,398.0,412.0,385.0
451,31R080,THE MICHAEL J. PETRIDES SCHOOL,107.0,472.0,488.0,466.0
452,31R440,NEW DORP HIGH SCHOOL,391.0,424.0,437.0,416.0
453,31R445,PORT RICHMOND HIGH SCHOOL,271.0,424.0,438.0,417.0
454,31R450,CURTIS HIGH SCHOOL,375.0,437.0,435.0,429.0
455,31R455,TOTTENVILLE HIGH SCHOOL,807.0,462.0,486.0,470.0
456,31R460,SUSAN E. WAGNER HIGH SCHOOL,535.0,455.0,474.0,459.0
457,31R470,CONCORD HIGH SCHOOL,10.0,466.0,455.0,414.0
458,31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94.0,416.0,422.0,397.0
459,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227.0,635.0,682.0,636.0
460,31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10.0,405.0,375.0,370.0
461,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50.0,380.0,366.0,352.0
462,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88.0,384.0,409.0,361.0
463,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75.0,348.0,353.0,334.0
464,32K552,ACADEMY OF URBAN PLANNING,67.0,342.0,364.0,354.0
465,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39.0,428.0,465.0,422.0
466,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23.0,347.0,358.0,350.0
467,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24.0,359.0,317.0,358.0
468,75K371,P.S. 371 s LILLIAN L. RASHKIS,,,,
469,75M035,P.S. 035,,,,
470,75Q256,P.S. Q256,,,,
471,75Q811,P.S. Q811,32.0,429.0,444.0,433.0
472,75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,,,,
473,75X012,P.S. X012 LEWIS AND CLARK SCHOOL,,,,
474,75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,,,,
475,79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,,,,
476,79Q950,GED PLUS s CITYWIDE,8.0,496.0,400.0,426.0
477,79X490,PHOENIX ACADEMY,9.0,367.0,370.0,360.0
